,train_loss,valid_loss,train_iou,valid_iou
0,0.7445907411830766,0.6831690619389216,0.366882591641375,0.44783560186624527
1,0.6330338482345853,0.6045895889401436,0.5458660093801362,0.5804937556385994
2,0.5768344168152127,0.5631363255282243,0.6253217171345439,0.6321876471241316
3,0.5411798331354346,0.5384403516848882,0.661385348864964,0.6557634870211283
4,0.517811119556427,0.5192438078423341,0.6824765609843391,0.6746139427026113
5,0.5022469295987061,0.5057893780370554,0.6926943744931903,0.6852335333824158
6,0.48876965045928955,0.49731585880120593,0.702541457755225,0.6938799594839414
7,0.4750804863870144,0.4877181698878606,0.712021067738533,0.6994012494881948
8,0.46598048348511967,0.48110514630873996,0.7177257282393319,0.7029990181326866
9,0.45904289186000824,0.4755034086604913,0.7215375155210495,0.7055300374825796
10,0.4490507298282215,0.4714876115322113,0.7281721904873848,0.7116498251756033
11,0.443166295332568,0.46563173706332844,0.7318628632596561,0.7119673490524292
12,0.4366017872733729,0.46141834805409115,0.7362871265837124,0.7147567222515742
13,0.43115956389478277,0.457978967577219,0.737323845071452,0.7153130049506823
14,0.42747987114957403,0.45487262184421223,0.7397824195878846,0.7183548808097839
15,0.4210347666272095,0.4513691874841849,0.7439718789287976,0.7195678154627482
16,0.4161199187593801,0.4490419253706932,0.7471874590430941,0.720908984541893
17,0.41187986518655506,0.4463772426048915,0.7489198041813714,0.7213022957245508
18,0.4070047970329012,0.44438572227954865,0.7513984494975635,0.7235234007239342
19,0.4052010881049292,0.44259723275899887,0.7521382974726813,0.7239973520239195
20,0.400457857974938,0.4403727625807126,0.7549407982400486,0.7258265217145284
21,0.39564963270510944,0.4383945440252622,0.7579385840467044,0.7270915235082308
22,0.3937804640403816,0.43800077587366104,0.7593359787549291,0.7295708060264587
23,0.38999613747000694,0.4355514881511529,0.760389078940664,0.7283349881569544
24,0.38551982385771616,0.43471497545639676,0.7632475942373276,0.7314361706376076
25,0.3825253168387072,0.43272294104099274,0.7659125583512443,0.7300875385602316
26,0.3803467888917242,0.43203270932038623,0.7667884454131126,0.7319502284129461
27,0.3771865447717054,0.43049585695068043,0.7685218900442123,0.7313722496231397
28,0.3754338776426656,0.42966311673323315,0.7689633486526353,0.7341536581516266
29,0.37065622795905384,0.42858149235447246,0.7723125442862511,0.7338967571655909
